0.6544861523,0.6278151518,1.0210861095,0.7165284929,1.3867715682,1.7404211150,0.5774046916,0.6967114200,1.1524877997,1.4469137994,2.1765336116,8.6724879470,0.7960719679,1.7593560470,3.0318218268,6.3329809182,5.8373404685,5.8373240266,0.6830907093,1.8308802854,3.8116495698,5.5032100232,5.5032100232,5.5032100232,0.6375218294,1.5369893104,3.3208185129,4.7354792567,4.7354792082,4.7354792082,0.6498067856,1.4940058841,3.2181722365,4.5823769672,4.5823769971,4.5823769967
1.0099228679,1.1431236138,1.3603901845,1.6222435427,1.6982689732,2.6370633672,0.9750272380,1.5378359265,2.4027558783,2.3183009981,2.0764846283,7.9988152134,0.8818472840,1.6032677910,2.5910233205,6.2465192917,6.6491133767,6.6491765849,0.8901789308,2.1772722203,4.3234641616,6.3066324286,6.3066324286,6.3066324286,0.8461276548,1.9860449281,4.0934874203,5.7700878065,5.7700878065,5.7700878065,0.8628057753,1.9757829367,4.0734465795,5.7321832201,5.7321835995,5.7321831395
0.9635894701,0.9597566532,0.9425181659,1.1554846486,1.4019132046,1.7222319605,0.9175157309,0.9876845825,1.2942080344,1.5481856045,3.1768588960,15.2457149315,1.0327152895,1.2690382877,1.9845859242,4.7125492772,6.2196754665,6.2198309626,1.1420917616,1.8903415296,3.3014141056,4.4959186270,4.4959186270,4.4959186270,1.1656483572,2.0902886830,3.8597173302,5.2690169783,5.2690169783,5.2690169783,1.1614010143,2.0802363403,3.8397912693,5.2368228485,5.2368300810,5.2367994980
1.4642515810,1.4588219171,1.7733804632,2.4795234657,2.9428223652,2.9278284329,1.4950728349,1.7234362450,2.1211480172,2.4425380004,4.3639977540,17.5402322054,1.5700344569,1.9151127447,3.1172407206,6.1285335606,9.7384242938,9.7385012758,1.6654083350,2.6894687385,4.5282546154,6.3438819346,6.3438819346,6.3438819346,1.6908993917,3.0490372602,5.5643069025,7.6043301027,7.6043301027,7.6043301027,1.7021311543,3.1295044030,5.7501143236,7.8673437459,7.8673437459,7.8673437256
0.7111870435,0.7436323654,0.8458414575,1.1312914585,1.6426379313,2.3989396644,0.7456869691,0.8094052340,1.1807559182,1.5387728510,2.4562079224,9.4672631347,0.7798003179,1.0132801942,1.6496362221,3.4773267802,4.6598767714,4.6600169807,0.8125304615,1.2523349030,2.2026791253,3.1109478795,3.1109478795,3.1109478795,0.8143492408,1.3272739780,2.3532070153,3.2074182399,3.2074182399,3.2074191501,0.8113733596,1.3217997926,2.3343522136,3.1777011319,3.1777011319,3.1777011319
0.8140852251,0.8124745216,0.7757349533,0.9339303444,1.3236549836,1.8774317208,0.9109059112,1.0151327191,1.4196965956,1.9311948674,2.9208349973,10.0060453362,0.9527836826,1.4060510820,2.2197038613,5.3802421203,6.5706133440,6.5711102906,1.0083094728,1.7295594315,3.1120953693,4.3227910009,4.3227910009,4.3227910009,1.0685924248,1.9501446337,3.5180153885,4.7558300337,4.7558300337,4.7558300337,1.0706545014,1.9744751549,3.5718317361,4.8285574406,4.8285572651,4.8285572615
0.5854257255,0.6341347748,0.7476972077,0.8426802190,1.4969860145,2.5832492437,0.6277284326,0.6978103252,0.9292265312,1.2771912394,2.0922860662,6.9766753549,0.6982210597,0.9600375742,1.6144198623,3.3930071023,4.5564067598,4.5563185334,0.7331110765,1.2076229853,2.0487558005,2.7915124185,2.7915124185,2.7915124185,0.7546660686,1.3579311301,2.4784201853,3.3998404561,3.3998404566,3.3998404566,0.7546590940,1.3683177765,2.5037847784,3.4328732531,3.4328732476,3.4328732531
0.7212374284,0.6780331588,0.7138727412,1.0462415447,1.1193016706,2.3245472860,0.7235458455,0.9005794536,1.1811701417,1.2154356268,3.3116004059,11.2229030702,0.7748357015,0.9154971622,2.4251548075,4.4968434863,5.6881199103,5.6880742395,0.8323756409,1.4290287000,2.4617273099,3.3902315788,3.3902315788,3.3902315788,0.8240749410,1.4702479574,2.6586728511,3.6057713590,3.6057713590,3.6057713590,0.8234621256,1.4756202847,2.6708554812,3.6212425939,3.6212425939,3.6212431370
1.3561250566,1.5333112533,1.6751562684,2.3110630673,2.7020470103,3.1189817023,1.5218128103,1.4184034619,2.1441514236,2.9803989352,5.1552690003,19.8979545367,1.3615593655,1.8592233405,3.2056170423,6.9644260683,6.9863981855,6.9872906135,1.5709412518,3.2646280380,6.2338701950,8.8882707958,8.8882707958,8.8882707958,1.5832499920,3.4503732791,6.7727912475,9.3862095651,9.3862095651,9.3862095651,1.5754680358,3.4545756888,6.7846343824,9.3968158397,9.3968158397,9.3968158397
0.7709177252,0.7664218341,0.9554862043,1.0190584146,3.4040772471,6.1622181260,0.9148589120,0.7701706898,2.0691739100,2.5184630425,3.2608720078,11.3840233328,1.1910651964,0.9085390816,1.6912621281,4.7677874803,5.7414589980,5.7416045386,1.2841723060,1.1917830638,1.8500972183,2.9588382965,2.9588382965,2.9588382965,1.3222157432,1.4392649506,1.9056317214,2.9883213491,2.9883213491,2.9883213491,1.3261761490,1.4669511708,1.8846556146,2.9529225148,2.9529225263,2.9529225148
0.6003508010,0.5594348675,0.6028695119,0.7936100252,1.0880569735,1.3974088759,0.5778791412,0.5952413604,0.7366340504,0.8852998615,1.6152844124,7.3716693197,0.6364523034,0.7123958403,1.2100162227,3.0699185677,3.7953659176,3.7953277559,0.6787361695,0.9805172925,1.6855682561,2.2782451347,2.2782451347,2.2782451347,0.6812740733,1.0590092848,1.8726353733,2.5490079968,2.5490079967,2.5490079968,0.6825880383,1.0729071259,1.9014908391,2.5881382566,2.5881382566,2.5881382330
