4.3123125692,4.0690275933,3.4642379420,3.4795651561,3.3257954740,5.0093028309,4.2573983532,3.7470087725,3.0391837101,3.9934371615,4.7705488610,4.7699921719,4.5714065340,4.7143049622,4.8484722301,4.8484722301,4.8484722301,4.8484722301,4.6822386513,5.1448953561,5.1448953561,5.1448953561,5.1448953561,5.1448953561,4.6984358625,5.1991237620,5.1991235264,5.1991315622,5.1991235264,5.1991315622,4.7006097626,5.2069194776,5.2069181082,5.2069181082,5.2069219834,5.2069181082
7907951981472.7402343750,8559223036955.7109375000,9516517296438.8027343750,8700444101056.0419921875,7028494159026.1464843750,7890136289633.8808593750,7694064182454.4941406250,7131301097314.7158203125,5837871776111.5468750000,9986155598649.7968750000,10536568892923.5371093750,10524171056443.8671875000,7517682135014.0673828125,7258729602041.2919921875,9025676983533.7871093750,9025676983533.7519531250,9025676983534.0507812500,9025676983528.0371093750,7826427708267.9667968750,8985530063506.1757812500,8985530063506.1757812500,8985530063506.1757812500,8985530063506.1757812500,8985530063506.1757812500,7740834879753.5341796875,8804420855941.2578125000,8804420855941.2578125000,8804420855941.2578125000,8804420855941.2578125000,8804420855941.2578125000,7700260591889.6562500000,8681970965511.4941406250,8681970965511.4941406250,8681970965511.4941406250,8681970965511.4941406250,8681970965511.4941406250
4.2839288831,4.1853793349,3.4025227537,3.2050115547,3.1356328542,4.9225510210,4.2746348709,3.6550966906,3.3850926525,4.2395767609,5.6604179586,5.6652625907,4.4136718013,4.2177392429,4.3620190205,4.3620190205,4.3620190205,4.3620190205,4.5469657603,5.0149574060,5.0149574060,5.0149574060,5.0149574060,5.0149574060,4.5604092818,5.0715587269,5.0715587269,5.0715587272,5.0715587269,5.0715587272,4.5558519753,5.0600264380,5.0600264659,5.0600278207,5.0600264237,5.0600278207
4.2017430417,4.0578707443,3.7347549255,3.5227552610,3.1881394187,4.6149783013,4.1361553158,3.6266589756,3.0456934816,4.0322161346,4.9156726309,4.9139254415,4.3565320474,4.2655460337,4.6087553243,4.6087553243,4.6087553243,4.6087553243,4.4841085406,4.9449125581,4.9449125581,4.9449125581,4.9449125581,4.9449125581,4.5011828290,5.0128101571,5.0128102513,5.0128099986,5.0128102513,5.0128099986,4.5009709014,5.0137979381,5.0137979381,5.0138080748,5.0137979381,5.0138049780
4.7798512365,4.4569158295,3.8104301278,3.7171593051,4.4530390831,8.1744573972,4.7420585863,4.0101039090,3.7180301033,5.7840745425,8.1200353398,8.1157228670,4.9749659298,4.6650095082,5.1710067376,5.1710067376,5.1710067376,5.1710067376,5.1050729110,5.6471377177,5.6471377177,5.6471377177,5.6471377177,5.6471377177,5.1192989435,5.7037429110,5.7037429110,5.7037429111,5.7037429110,5.7037441632,5.1361989847,5.7605222658,5.7605222658,5.7605222659,5.7605222658,5.7605222659
5.2250144148,4.8406933211,4.6482127432,4.2575342981,5.0608189242,5.3082438922,5.2757253867,5.0737361760,4.5025159067,5.7236701458,7.4841453893,7.4864389242,5.5763886964,5.4566073444,6.0430981821,6.0430981821,6.0430981821,6.0430981821,5.6119955960,6.2057905414,6.2057905414,6.2057905414,6.2057905414,6.2057905414,5.6180583150,6.2517737698,6.2517709477,6.2517662438,6.2517843687,6.2517662438,5.6250805427,6.2778025455,6.2778025455,6.2778025455,6.2778010825,6.2778025455
5.1935842406,5.0452698114,4.7298756185,4.8185200642,4.3147791870,6.5817447706,5.1483107330,4.7327951330,4.0945685512,5.6603985481,7.1365082861,7.1342778211,5.4652340209,5.3605045419,6.0089684045,6.0089684045,6.0089684045,6.0089684045,5.5755556429,6.2222250019,6.2222250019,6.2222250019,6.2222250019,6.2222250019,5.5683131905,6.2405082903,6.2405082903,6.2405082903,6.2405082903,6.2405082903,5.5602599089,6.2198446495,6.2198446495,6.2198446495,6.2198446495,6.2198446495
3.5229285769,3.3175823084,2.9154674835,2.7265677361,2.8784145583,4.0278979741,3.4990468065,3.1124867024,2.6206714196,3.8285655007,4.6186984264,4.6188988291,3.6486078001,3.3636494983,3.6369763209,3.6369763209,3.6369763209,3.6369763209,3.7576126078,4.1384057784,4.1384057784,4.1384057784,4.1384057784,4.1384057784,3.7663403235,4.1776169695,4.1776169695,4.1776170194,4.1776169695,4.1776170194,3.7676160461,4.1829006174,4.1829006174,4.1829206657,4.1829177744,4.1829206657
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3.7875645285,3.5172750702,3.1241796169,2.9733857242,2.7167352939,4.3479990644,3.7994926531,3.2981572083,2.5192933084,3.9955440999,5.3299779077,5.3301140860,3.9038596830,3.7512941335,3.8791369345,3.8791369345,3.8791369345,3.8791369345,4.0659200324,4.4674986264,4.4674986264,4.4674986264,4.4674986264,4.4674986264,4.0747295580,4.5101920661,4.5101920661,4.5101920436,4.5101920661,4.5101920436,4.0739296349,4.5144355352,4.5144355352,4.5144355355,4.5144355356,4.5144355355
