B,FS,K,T
0.10820,0.00302,0.10820,0.08068
0.04794,0.04967,0.04794,0.03441
0.02934,0.02934,0.02934,0.02581
0.20220,0.00208,0.20220,0.16532
0.14046,0.00896,0.14046,0.10760
0.07269,0.07631,0.07269,0.05804
0.05246,0.05246,0.05246,0.04673
0.23743,0.00596,0.23743,0.21212
0.12114,0.00428,0.12114,0.09230
0.05629,0.00064,0.05629,0.04390
0.03393,0.03393,0.03393,0.02347
0.25379,0.00277,0.25379,0.23055
0.12171,0.00048,0.12171,0.09238
0.05451,0.05591,0.05451,0.04267
0.02804,0.02804,0.02804,0.02413
0.23353,0.00632,0.23353,0.21108
0.17700,0.01104,0.17700,0.15223
0.09094,0.09675,0.09094,0.08265
0.05390,0.05390,0.05390,0.04440
0.41335,0.00782,0.30849,0.29129
0.15182,0.00326,0.15182,0.12856
0.06470,0.06922,0.06470,0.05139
0.03883,0.03883,0.03883,0.02981
0.31132,0.00427,0.31132,0.29661
0.14464,0.00544,0.14464,0.11874
0.05478,0.00217,0.05478,0.04391
0.02999,0.01170,0.02999,0.02669
0.29747,0.00427,0.29747,0.28335
0.03779,0.03779,0.03779,0.03260
0.19322,0.01653,0.19322,0.13851
0.07420,0.07661,0.07420,0.05888
0.05102,0.05102,0.05102,0.04572
0.02222,0.02222,0.02222,0.02222
0.15735,0.00113,0.15735,0.12955
0.06551,0.06968,0.06551,0.05264
0.03754,0.03754,0.03754,0.02947
0.01480,0.01480,0.01480,0.01480
0.15755,0.00813,0.15755,0.12980
0.06334,0.06485,0.06334,0.05200
0.03494,0.03494,0.03494,0.02771
0.45764,0.48217,0.43582,0.41010
0.44198,0.00700,0.47400,0.45520
0.14722,0.38337,0.33133,0.26674
0.32195,0.00184,0.32195,0.30555
0.18045,0.00653,0.21831,0.18045
0.20797,0.00356,0.20797,0.18790
0.25146,0.36885,0.25540,0.24365
0.06898,0.22931,0.24434,0.24434
0.18601,0.00243,0.18956,0.17504
0.09073,0.00723,0.15755,0.09073
0.25898,0.00383,0.25898,0.25373
0.42632,0.43482,0.44544,0.41975
0.51998,0.55926,0.50149,0.48218
0.55924,0.00900,0.33959,0.31005
0.29285,0.00465,0.31559,0.31193
0.29285,0.00465,0.31559,0.31193
0.29288,0.00797,0.29288,0.28185
0.39811,0.41194,0.40863,0.40541
0.36600,0.00501,0.38534,0.37838
0.08662,0.23380,0.11669,0.11669
0.32331,0.32331,0.32331,0.32331
0.27475,0.01871,0.27475,0.24356
0.43848,0.00217,0.48666,0.41975
0.46800,0.24809,0.24809,0.24809
0.35304,0.02128,0.36869,0.36053
0.08063,0.14230,0.12659,0.12659
0.50218,0.53532,0.52123,0.52123
0.21132,0.00373,0.21132,0.18123
0.29826,0.00468,0.29826,0.28554
0.17469,0.17469,0.17469,0.14980
0.36908,0.00344,0.38793,0.37997
0.31888,0.00456,0.31060,0.26204
0.24541,0.01086,0.25234,0.22474
0.46423,0.56498,0.48702,0.48134
0.15409,0.00249,0.15409,0.11598
0.20371,0.00979,0.20371,0.18103
0.31043,0.00393,0.29772,0.24404
0.16309,0.37951,0.30244,0.26073
0.44529,0.00351,0.47698,0.45197
0.35411,0.00397,0.35678,0.33808
0.14785,0.15250,0.14785,0.12897
0.36549,0.36465,0.36754,0.36591
0.14344,0.00138,0.14344,0.11245
0.30040,0.00436,0.30040,0.27116
0.31322,-0.00881,0.33663,0.31704
0.69713,0.70542,0.68901,0.68901
0.06566,0.70987,0.70987,0.70987
0.38599,0.00073,0.37864,0.36753
0.34293,0.47811,0.35328,0.34742
0.34293,0.47811,0.35328,0.34742
0.09666,0.00452,0.09666,0.09666
0.24579,0.01003,0.24579,0.22542
0.19677,0.36408,0.34895,0.34895
0.22189,0.37760,0.24502,0.22618
0.14932,0.01071,0.14932,0.14285
0.17645,0.00652,0.17645,0.17255
0.39550,0.44190,0.42642,0.41881
0.40694,0.44768,0.43815,0.43030
0.07667,0.30742,0.20871,0.20871
0.46331,0.49245,0.46331,0.46331
0.45205,0.45441,0.44338,0.39081
0.40238,0.42215,0.40238,0.40238
0.44343,0.50697,0.45636,0.45636
0.29296,0.00015,0.29296,0.27311
0.45631,0.59529,0.54191,0.48703
0.44938,0.50244,0.45671,0.45671
0.29799,0.00017,0.27130,0.25942
0.21673,0.00015,0.21673,0.21412
0.19107,0.00031,0.19107,0.19107
0.13204,0.05583,0.14063,0.10985
0.30215,0.00271,0.30489,0.28222
0.30630,0.00102,0.30630,0.27748
0.44711,0.99999,0.44711,0.44385
0.35278,0.00812,0.33388,0.31237
0.31478,0.00339,0.31116,0.26782
0.58699,0.66746,0.58699,0.58928
0.22541,0.27575,0.23343,0.21342
0.25054,0.01557,0.25054,0.23043
0.18102,0.01321,0.18481,0.16788
0.51549,0.51549,0.11808,0.04685
0.31191,0.01043,0.28147,0.27290
0.11008,0.31369,0.14077,0.09555
0.31328,0.38748,0.36201,0.36201
0.23204,0.00567,0.22710,0.21124
0.19114,0.39583,0.39477,0.39477
0.05258,0.02014,0.08496,0.08496
0.06393,0.09300,0.09383,0.00030
